"user_id","avg_pay_amt","avg_pay_amt_weekdays","avg_pay_amt_weekends"
4,"[36,49)","未知","[49,65)"
7,">=65",">=65",">=65"
45,"[49,65)","[49,65)","[49,65)"
57,"[29,36)","[29,36)","[36,49)"
101,"[29,36)","[29,36)","[29,36)"
113,"[49,65)","[49,65)","[49,65)"
125,"[36,49)","[36,49)","[36,49)"
129,">=65",">=65",">=65"
131,"[49,65)","[49,65)",">=65"
150,"<29","<29","<29"
189,"[36,49)","[36,49)","[36,49)"
192,"<29","<29","<29"
204,"<29","<29","<29"
231,"[49,65)",">=65","[49,65)"
232,"[49,65)","未知","[49,65)"
234,"[49,65)","[49,65)","[49,65)"
235,"[49,65)","未知",">=65"
255,"[29,36)","[36,49)","[29,36)"
264,"[36,49)","[36,49)","[36,49)"
266,"[29,36)","[29,36)","[36,49)"
268,"[49,65)","[49,65)","[49,65)"
271,"<29","未知","<29"
276,"[36,49)","[29,36)","[49,65)"
281,"[49,65)","[36,49)","[36,49)"
286,"<29","<29","<29"
304,"[49,65)","[49,65)",">=65"
319,">=65",">=65",">=65"
324,"[36,49)","[36,49)","[36,49)"
330,"<29","<29","<29"
366,"[36,49)","未知","[49,65)"
367,"[29,36)","[29,36)","[36,49)"
382,"[29,36)","[29,36)","[29,36)"
385,"[49,65)","未知",">=65"
387,"[29,36)","[29,36)","<29"
399,"[49,65)","[49,65)","[49,65)"
408,"[49,65)","[49,65)",">=65"
415,"[29,36)","[29,36)","[29,36)"
417,"[36,49)","[36,49)","[36,49)"
433,"<29","[29,36)","<29"
436,"[49,65)","[49,65)","[49,65)"
438,">=65",">=65",">=65"
442,"<29","<29","<29"
499,">=65",">=65",">=65"
503,"[29,36)","[29,36)","<29"
508,"[49,65)","[49,65)","[49,65)"
512,"[36,49)","[29,36)","[36,49)"
513,">=65",">=65","[49,65)"
528,"[29,36)","[29,36)","[29,36)"
536,"[36,49)","[36,49)","[36,49)"
541,"[36,49)","[36,49)","[36,49)"
547,"[29,36)","[29,36)","[29,36)"
553,">=65","[49,65)",">=65"
561,"[29,36)","[36,49)","[29,36)"
580,"[49,65)","[49,65)",">=65"
601,">=65",">=65","未知"
610,"<29","<29","<29"
627,"[49,65)","未知","[49,65)"
641,"[49,65)","未知",">=65"
647,">=65",">=65","[49,65)"
653,"<29","<29","<29"
662,"[36,49)","[36,49)","[36,49)"
672,">=65",">=65",">=65"
673,">=65",">=65",">=65"
724,"[49,65)","[49,65)","[49,65)"
730,">=65",">=65",">=65"
760,"<29","<29","<29"
774,"[36,49)","[29,36)","[36,49)"
776,"[36,49)","[36,49)","[36,49)"
791,"[36,49)","[36,49)","[36,49)"
796,"[29,36)","[29,36)","[36,49)"
802,"[49,65)","[49,65)","[49,65)"
804,">=65",">=65",">=65"
820,"<29","<29","<29"
824,">=65",">=65",">=65"
859,"[49,65)","未知","[49,65)"
860,"[29,36)","[29,36)","[36,49)"
867,"[36,49)","[36,49)","[36,49)"
868,"[49,65)","[49,65)","[49,65)"
869,"[36,49)","[36,49)","[29,36)"
896,">=65",">=65",">=65"
913,"[29,36)","[36,49)","[29,36)"
917,"<29","<29","未知"
927,"<29","<29","<29"
932,"<29","<29","[36,49)"
935,"[36,49)","[36,49)","[36,49)"
950,">=65",">=65",">=65"
952,"[49,65)","[49,65)","[49,65)"
954,"<29","<29","<29"
962,"[36,49)","[36,49)","[36,49)"
964,"[36,49)","[36,49)","[36,49)"
986,"[36,49)","未知","[49,65)"
992,"[36,49)","未知","[49,65)"
996,"[36,49)","[36,49)","[36,49)"
1010,"[36,49)","未知","[49,65)"
1018,"[36,49)","[36,49)","[36,49)"
1019,"<29","<29","[29,36)"
1031,"[36,49)","[36,49)","[36,49)"
1048,">=65",">=65",">=65"
1049,">=65","[36,49)","<29"
1053,"[29,36)","[29,36)","[36,49)"
1060,"[36,49)","未知","[49,65)"
1091,"<29","<29","[29,36)"
1100,"<29","<29","<29"
1108,"[36,49)","[29,36)","[36,49)"
1123,"[29,36)","[29,36)","[29,36)"
1132,"<29","<29","<29"
1137,"[36,49)","[36,49)","[36,49)"
1139,">=65",">=65",">=65"
1145,"<29","<29","<29"
1171,">=65","[49,65)",">=65"
1175,">=65","[49,65)",">=65"
1191,"<29","<29","<29"
1199,"[49,65)","[49,65)",">=65"
1204,"[49,65)","[49,65)","[49,65)"
1219,"[49,65)","[49,65)","[49,65)"
1235,"<29","<29","<29"
1242,"[29,36)","[29,36)","[29,36)"
1253,"[49,65)","[49,65)","[49,65)"
1255,"[49,65)","[49,65)","[49,65)"
1263,"<29","<29","<29"
1271,"[49,65)","[49,65)",">=65"
1273,"[36,49)","[36,49)","[36,49)"
1282,">=65",">=65",">=65"
1286,"[49,65)","[49,65)","[49,65)"
1291,"[36,49)","[29,36)","[36,49)"
1326,">=65","[49,65)",">=65"
1330,"[49,65)","[49,65)","[49,65)"
1344,"<29","<29","<29"
1354,">=65",">=65",">=65"
1361,">=65",">=65",">=65"
1363,"[36,49)","[36,49)","[36,49)"
1365,"[36,49)","[36,49)","[36,49)"
1366,">=65",">=65",">=65"
1381,"[49,65)","[49,65)","[49,65)"
1387,"<29","<29","[36,49)"
1418,"[49,65)","[49,65)","[49,65)"
1422,"[49,65)","[49,65)",">=65"
1424,"<29","<29","<29"
1434,"[36,49)","未知","[49,65)"
1445,"<29","<29","<29"
1458,"<29","<29","<29"
1459,"[49,65)","[49,65)","[49,65)"
1475,"[29,36)","[29,36)","[29,36)"
1478,"[36,49)","[36,49)","[29,36)"
1481,"<29","<29","<29"
1486,"[49,65)","[49,65)","[49,65)"
1487,"[29,36)","[29,36)","<29"
1516,"[36,49)","[36,49)","[29,36)"
1524,"[36,49)","[36,49)","[36,49)"
1550,"[49,65)","[36,49)","[36,49)"
1560,"[29,36)","[29,36)","[29,36)"
1570,"<29","<29","<29"
1571,">=65",">=65",">=65"
1577,"[36,49)","[36,49)","[36,49)"
1586,"[49,65)","[36,49)","[36,49)"
1620,">=65",">=65",">=65"
1625,"[49,65)","[49,65)","[49,65)"
1627,"<29","<29","<29"
1641,"<29","<29","<29"
1646,"<29","<29","<29"
1650,">=65",">=65",">=65"
1696,"[49,65)","[49,65)","[49,65)"
1703,"[36,49)","[36,49)","[36,49)"
1713,"[29,36)","<29","[36,49)"
1715,"[36,49)","[36,49)","[36,49)"
1728,"[29,36)","[29,36)","[29,36)"
1740,">=65",">=65",">=65"
1752,"[29,36)","<29","[29,36)"
1760,"[29,36)","[29,36)","<29"
1791,">=65","[49,65)",">=65"
1803,"[36,49)","未知","[49,65)"
1810,"[49,65)","未知",">=65"
1816,"[29,36)","[29,36)","[36,49)"
1836,"[36,49)","[36,49)","[29,36)"
1849,"<29","<29","<29"
1864,"[49,65)","[49,65)","[49,65)"
1865,">=65",">=65",">=65"
1875,"<29","<29","<29"
1877,"<29","<29","<29"
1904,"<29","<29","<29"
1907,"[29,36)","[29,36)","<29"
1920,"[29,36)","[36,49)","<29"
1933,"<29","[29,36)","<29"
1935,"[49,65)","[49,65)",">=65"
1962,"[49,65)","[49,65)","[49,65)"
1966,"[36,49)","[36,49)","[36,49)"
1993,"[36,49)","未知","[49,65)"
2013,"<29","<29","<29"
2043,">=65",">=65",">=65"
2056,"[49,65)","[49,65)","[49,65)"
2058,"[29,36)","[29,36)","[29,36)"
2071,"[49,65)","未知",">=65"
2081,"[29,36)","[29,36)","[29,36)"
2088,"<29","<29","<29"
2105,"<29","<29","<29"
2107,"[49,65)","[49,65)","[49,65)"
2113,"[49,65)","未知","[49,65)"
2136,"<29","[29,36)","<29"
2146,"[36,49)","[36,49)","[36,49)"
2147,"<29","<29","[29,36)"
2150,">=65",">=65",">=65"
2152,"[49,65)","[49,65)","[49,65)"
2157,"[36,49)","未知",">=65"
2160,"[36,49)","[36,49)","[36,49)"
2191,">=65",">=65",">=65"
2200,"[36,49)","[36,49)","[36,49)"
2217,"[36,49)","[36,49)","[36,49)"
2218,">=65",">=65",">=65"
2221,"<29","<29","[29,36)"
2244,"[49,65)","[49,65)","[49,65)"
2246,"[36,49)","[36,49)","[36,49)"
